,artistID,name,genres
0,1,MALICE MIZER,['visual kei']
1,2,Diary of Dreams,"['darkwave', 'ebm', 'industrial', 'gothic rock', 'deathrock', 'cold wave', 'gothic metal', 'synthpop']"
2,3,Carpathian Forest,['black metal']
4,5,Bella Morte,"['deathrock', 'gothic rock', 'darkwave', 'horror punk', 'industrial', 'gothic metal', 'post-punk', 'ebm', 'cold wave']"
5,6,Moonspell,"['gothic metal', 'doom metal', 'gothic rock', 'symphonic metal', 'metal', 'black metal']"
6,7,Marilyn Manson,"['industrial metal', 'industrial rock', 'industrial', 'metal', 'nu metal']"
7,8,DIR EN GREY,"['visual kei', 'j-rock']"
8,9,Combichrist,"['industrial', 'ebm', 'industrial metal', 'industrial rock', 'darkwave']"
9,10,Grendel,"['ebm', 'industrial', 'industrial metal', 'darkwave', 'industrial rock']"
10,11,Agonoize,"['ebm', 'industrial', 'darkwave', 'industrial metal']"
11,12,Behemoth,"['black metal', 'death metal', 'metal']"
12,13,Hocico,"['ebm', 'industrial', 'darkwave', 'industrial metal', 'gothic rock']"
13,15,Dimmu Borgir,"['black metal', 'metal', 'symphonic metal', 'death metal']"
14,16,London After Midnight,"['gothic rock', 'deathrock', 'darkwave', 'post-punk', 'gothic metal', 'cold wave']"
15,17,Psyclon Nine,"['industrial', 'ebm', 'industrial metal', 'industrial rock', 'darkwave']"
17,19,:wumpscut:,"['ebm', 'industrial', 'darkwave', 'industrial rock', 'industrial metal']"
18,20,Limbonic Art,"['black metal', 'symphonic metal']"
20,22,xotox,"['ebm', 'industrial', 'darkwave']"
21,23,The Kovenant,"['industrial metal', 'black metal', 'industrial', 'industrial rock', 'gothic metal']"
22,24,Feindflug,"['ebm', 'industrial', 'darkwave', 'industrial metal']"
23,25,Cradle of Filth,"['black metal', 'gothic metal', 'metal', 'symphonic metal', 'death metal']"
24,26,Tamtrum,"['ebm', 'industrial']"
25,27,Laibach,"['industrial', 'ebm', 'industrial metal', 'industrial rock', 'darkwave']"
26,28,Gorgoroth,"['black metal', 'metal']"
27,30,And One,"['ebm', 'industrial', 'synthpop', 'darkwave']"
28,31,Amduscia,"['ebm', 'industrial', 'darkwave', 'industrial metal']"
29,32,Covenant,['worship']
30,34,Icon of Coil,"['ebm', 'industrial', 'synthpop', 'darkwave', 'industrial metal', 'industrial rock']"
31,36,KMFDM,"['industrial', 'industrial metal', 'industrial rock', 'ebm']"
32,37,Funker Vogt,"['ebm', 'industrial', 'darkwave', 'industrial rock', 'industrial metal', 'synthpop']"
33,38,Dawn of Ashes,"['industrial', 'industrial metal', 'ebm', 'industrial rock']"
34,39,Sopor Aeternus & The Ensemble of Shadows,"['darkwave', 'deathrock', 'gothic rock', 'gothic metal', 'neoclassical', 'post-punk']"
35,40,The Faint,"['electroclash', 'new rave']"
36,41,God Module,"['ebm', 'industrial', 'industrial metal', 'darkwave']"
37,43,Noisuf-X,"['ebm', 'industrial', 'industrial metal', 'darkwave']"
38,44,Das Ich,"['ebm', 'industrial', 'darkwave', 'industrial rock', 'industrial metal']"
40,46,Pyotr Ilyich Tchaikovsky,['classical']
41,47,Emperor,"['post-rock', 'drone']"
42,48,Anorexia Nervosa,"['black metal', 'symphonic metal']"
43,49,Reaper,"['drum and bass', 'drumstep', 'dubstep']"
44,50,Gothminister,"['industrial metal', 'industrial', 'gothic metal', 'industrial rock', 'ebm', 'gothic rock', 'darkwave']"
45,51,Duran Duran,"['new wave', 'synthpop']"
46,52,Morcheeba,"['trip hop', 'downtempo']"
47,53,Air,['anime']
48,54,Hooverphonic,"['trip hop', 'downtempo']"
49,55,Kylie Minogue,['dance pop']
50,56,Daft Punk,"['french house', 'electronic', 'electro']"
51,57,Thievery Corporation,"['trip hop', 'downtempo', 'acid jazz', 'lounge']"
52,58,Goldfrapp,"['trip hop', 'electroclash', 'art pop']"
53,59,New Order,"['new wave', 'synthpop', 'post-punk', 'madchester']"
55,61,Talk Talk,"['new wave', 'post-punk']"
57,63,Enigma,"['new age', 'gregorian chant']"
60,66,Faithless,['trip hop']
62,68,Icehouse,['synthpop']
63,69,Sade,['classical']
64,70,Moby,"['downtempo', 'trip hop']"
66,72,Depeche Mode,"['new wave', 'synthpop', 'darkwave']"
68,74,Basia,['smooth jazz']
